10001,10001,2024-12-26 21:14:51
10002,10002,2024-12-26 21:15:30
10002,10002,2024-12-26 21:15:33
10001,10001,2024-12-26 21:15:35
10004,10004,2024-12-26 21:15:55
10004,10004,2024-12-26 21:15:56
10004,10004,2024-12-26 21:15:57
10004,10004,2024-12-26 21:15:57
10004,10004,2024-12-26 21:15:57
10004,10004,2024-12-26 21:15:58
10004,10004,2024-12-26 21:15:58
10004,10004,2024-12-26 21:15:58
10004,10004,2024-12-26 21:15:58
10004,10004,2024-12-26 21:15:59
10001,10001,2024-12-26 21:15:59
10001,10001,2024-12-26 21:16:00
